Date,Revenue
Jan-2009,943690
Feb-2009,1062565
Mar-2009,210079
Apr-2009,-735286
May-2009,842933
Jun-2009,358691
Jul-2009,914953
Aug-2009,723427
Sep-2009,-837468
Oct-2009,-146929
Nov-2009,831730
Dec-2009,917752
Jan-2010,800038
Feb-2010,1117103
Mar-2010,181220
Apr-2010,120968
May-2010,844012
Jun-2010,307468
Jul-2010,502341
Aug-2010,-748679
Sep-2010,-1063151
Oct-2010,111367
Nov-2010,889322
Dec-2010,1028794
Jan-2011,-705201
Feb-2011,457393
Mar-2011,358440
Apr-2011,110092
May-2011,1111337
Jun-2011,691712
Jul-2011,669603
Aug-2011,527608
Sep-2011,1057492
Oct-2011,109267
Nov-2011,1106492
Dec-2011,531744
Jan-2012,1134360
Feb-2012,-401260
Mar-2012,1141606
Apr-2012,594289
May-2012,51905
Jun-2012,415204
Jul-2012,467130
Aug-2012,270918
Sep-2012,589902
Oct-2012,1056793
Nov-2012,250079
Dec-2012,91344
Jan-2013,431100
Feb-2013,801964
Mar-2013,50115
Apr-2013,525242
May-2013,55136
Jun-2013,-497774
Jul-2013,360731
Aug-2013,391243
Sep-2013,339680
Oct-2013,809253
Nov-2013,924494
Dec-2013,998347
Jan-2014,-524902
Feb-2014,747765
Mar-2014,197783
Apr-2014,131625
May-2014,1016992
Jun-2014,-930753
Jul-2014,714387
Aug-2014,201005
Sep-2014,655535
Oct-2014,845108
Nov-2014,101736
Dec-2014,-93063
Jan-2015,984921
Feb-2015,-362343
Mar-2015,940457
Apr-2015,216399
May-2015,363036
Jun-2015,672160
Jul-2015,783533
Aug-2015,1079882
Sep-2015,288933
Oct-2015,894500
Nov-2015,411593
Dec-2015,789575
Jan-2016,355838
Feb-2016,437489
