Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites
b128,0,45.0,0
f932,0,45.0,0
g107,0,45.0,0
a457,0,45.0,0
c819,0,45.0,0
h246,0,45.0,0
p189,0,45.0,0
n923,0,45.0,0
q119,0,45.0,0
f993,0,45.0,0
z234,0,45.0,0
b559,0,45.0,0
y260,0,45.0,0
x930,0,45.0,0
o725,0,45.0,0
z969,0,45.0,0
v835,0,45.0,0
r604,0,45.0,0
n304,0,45.0,0
l700,0,45.0,0
x336,0,45.0,0
l725,0,45.0,0
m133,0,45.0,0
v295,0,45.0,0
a818,0,45.0,0
y601,0,45.0,0
t724,0,45.0,0
k382,0,45.0,0
w422,0,45.0,0
c326,0,45.0,0
c139,0,45.0,0
v339,0,45.0,0
a577,0,45.0,0
y163,0,45.0,0
k483,0,45.0,0
k804,0,45.0,0
o809,0,45.0,0
z581,0,45.0,0
a251,0,45.0,0
i386,0,45.0,0
c580,0,45.0,0
q132,0,45.0,0
u327,0,45.0,0
v603,0,45.0,0
f278,0,45.0,0
g497,0,45.0,0
d474,0,45.0,0
o973,0,45.0,0
c832,0,45.0,0
o331,0,45.0,0
m650,0,45.0,0
v289,0,45.0,0
m550,0,45.0,0
h428,0,45.0,0
r701,0,45.0,0
v199,0,45.0,0
x264,0,45.0,0
f234,0,45.0,0
c458,0,45.0,0
q610,0,45.0,0
j913,0,45.0,0
a411,0,45.0,0
a444,0,45.0,0
d251,0,45.0,0
j989,0,45.0,0
y449,0,45.0,0
k403,0,45.0,0
c758,0,45.0,0
x402,0,45.0,0
r811,0,45.0,0
a644,0,45.0,0
i177,0,45.0,0
g791,0,45.0,0
a520,0,45.0,0
u196,0,45.0,0
m546,0,45.0,0
w678,0,45.0,0
n364,0,45.0,0
s508,0,45.0,0
e662,0,45.0,0
z578,0,45.0,0
r921,0,45.0,0
a492,0,45.0,0
w540,0,45.0,0
v764,0,45.0,0
z795,0,45.0,0
e291,0,45.0,0
e584,0,45.0,0
e213,0,45.0,0
j755,0,45.0,0
s565,0,45.0,0
a366,0,45.0,0
p387,0,45.0,0
b879,0,45.0,0
i901,0,45.0,0
k862,0,45.0,0
g867,0,45.0,0
s619,0,45.0,0
w697,0,45.0,0
j984,0,45.0,0
c402,0,45.0,0
h333,0,45.0,0
k510,0,45.0,0
p981,0,45.0,0
t451,0,45.0,0
a963,0,45.0,0
m269,0,45.0,0
g989,0,45.0,0
z314,0,45.0,0
o848,0,45.0,0
v719,0,45.0,0
q597,0,45.0,0
c895,0,45.0,0
a203,0,45.0,0
f394,0,45.0,0
c264,0,45.0,0
n967,0,45.0,0
f545,0,45.0,0
k894,0,45.0,0
k754,0,45.0,0
g296,0,45.0,0
d164,0,45.0,0
w575,0,45.0,0
x613,0,45.0,0
q633,0,45.0,0
b313,0,45.0,0
f129,0,45.0,0
j365,0,45.0,0
p136,0,45.0,0
c559,0,45.0,0
a788,0,45.0,0
s337,0,45.0,0
q511,0,45.0,0
m331,0,45.0,0
o926,0,45.0,0
d133,0,45.0,0
n630,0,45.0,0
g989,0,45.0,0
a401,0,45.0,0
w350,0,45.0,0
c302,0,45.0,0
a897,0,45.0,0
j235,0,45.0,0
q787,0,45.0,0
a262,0,45.0,0
r850,0,45.0,0
i669,0,45.0,0
n763,0,45.0,0
s152,0,45.0,0
c766,0,45.0,0
e227,0,45.0,0
c282,0,45.0,0
v989,0,45.0,0
w140,0,45.0,0
v409,0,45.0,0
l872,0,45.0,0
o795,0,45.0,0
y478,0,45.0,0
q582,0,45.0,0
s166,0,45.0,0
x773,0,45.0,0
w167,0,45.0,0
t718,0,45.0,0
